id,base_id,base_lrn,params,encode,internal_cv,grid,scale,surv_pred,has_threads
KM,kaplan,surv.kaplan,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
NEL,nelson,surv.nelson,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AK,akritas,surv.akritas,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CPH,cph,surv.coxph,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
GLMN,cv_glmnet,surv.cv_glmnet,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Pen,penalized,surv.penalized,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AFT,parametric,surv.parametric,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Flex,flexible,surv.flexible,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
RFSRC,rfsrc,surv.rfsrc,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
RAN,ranger,surv.ranger,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CIF,cforest,surv.cforest,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ORSF,aorsf,surv.aorsf,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
RRT,rpart,surv.rpart,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
MBSTCox,mboost_cox,surv.mboost,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
MBSTAFT,mboost_aft,surv.mboost,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CoxB,coxboost,surv.cv_coxboost,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
XGBCox,xgb_cox,surv.xgboost.cox,5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
XGBAFT,xgb_aft,surv.xgboost.aft,7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
SSVM,svm,surv.svm,4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
